"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC145837",-4.70360581469488,4.96550260869565,-28.1122177392691,5.29010805482337e-102,2.25711277005797e-99,222.192265162274
"KIAA1370",-2.28049941087961,10.419827826087,-28.0746062314089,7.81351951680281e-102,3.25042411898997e-99,221.803494667985
"DACH1",-4.76116556323484,8.05208108695652,-28.0472466556024,1.03776105645845e-101,4.21179121450454e-99,221.52060554191
"B3GNT5",2.87005552013467,7.58406304347826,27.9818177255226,2.04631765751562e-101,8.10731567168095e-99,220.843793885224
"INPP4B",-3.4575616944225,8.66111565217391,-27.9179225452565,3.97292626290908e-101,1.53743007011179e-98,220.182444118676
"GABBR2",4.9584720792635,2.18352630434783,27.6368336037136,7.39111983225655e-100,2.79518713656248e-97,217.268339469115
"NAT1",-5.40317920481501,9.76655347826087,-27.4297992451226,6.39584013027123e-99,2.36503955039363e-96,215.117172730325
"FAM47E",-2.99778128076307,6.26833173913043,-27.2649042801058,3.5773686770451e-98,1.29407423447892e-95,213.400995399046
"CENPW",2.55036477009004,7.0209847826087,27.2101416545335,6.34025247126495e-98,2.24471917280529e-95,212.830490130883
"CLSTN2",-4.55933353395734,9.30603130434783,-27.1422346695015,1.28964214877108e-97,4.47075944907309e-95,212.122670970693
"IFRD1",1.81991738287727,9.09250326086956,27.1140341217001,1.73212648538453e-97,5.88216014628541e-95,211.828603820397
"ARSG",-2.92080035194207,8.00110913043478,-26.9623563068275,8.47529431448384e-97,2.82057794786022e-94,210.245727966378
"TFF1",-8.49312405957517,7.99115108695652,-26.9328406658183,1.15463566025146e-96,3.76728184050671e-94,209.937471284699
"VGLL1",6.24575309224455,3.92940760869565,26.8910089156416,1.78989613486893e-96,5.72766763158057e-94,209.500455347336
"FBP1",-3.1947884190661,9.92232152173913,-26.8736553137337,2.14697165398928e-96,6.74068081554369e-94,209.319117222594
"C4orf34",-1.96768614164394,10.2526958695652,-26.8460829805228,2.86659797745227e-96,8.83336858237145e-94,209.030943157644
"CXXC5",-2.39377281120095,9.23435413043478,-26.7672142454651,6.55578663993407e-96,1.98342344888187e-93,208.206274885414
"AFF3",-4.8076810767387,10.0247345652174,-26.7499927319698,7.85420510908883e-96,2.33382094670068e-93,208.026131178788
"ANKRD30A",-7.62481306521133,7.05053195652174,-26.6723373958608,1.7746403738558e-95,5.18070452999308e-93,207.213508309897
"ACADSB",-2.73152108847009,10.6749647826087,-26.5977709045359,3.88371595321202e-95,1.11422471485255e-92,206.432722041021
"CMBL",-3.00146382647729,10.0190167391304,-26.5401875686297,7.11303796615773e-95,2.00611782638754e-92,205.829443064908
"CENPN",1.86043718344343,8.02404608695652,26.5259543856539,8.26101414656283e-95,2.29105458998009e-92,205.680284166246
"TTLL4",1.87518909744716,9.0297197826087,26.519829942869,8.81039404297399e-95,2.40335994877192e-92,205.6160968458
"APBB2",-1.80904147560635,11.051635,-26.4989625806135,1.09718107526035e-94,2.94469243424714e-92,205.397372442123
"SLC22A5",-1.8133216342353,8.89787434782609,-26.425717624143,2.37054694428916e-94,6.26125415126534e-92,204.629355800057
"CTPS",1.70257993675245,9.2367297826087,26.3322041102931,6.34281197361988e-94,1.64913111314117e-91,203.64816371714
"A2ML1",6.22683952717354,3.36337413043478,26.2882548631627,1.00756544680367e-93,2.5793675438174e-91,203.186776904106
"PDSS1",1.6524064191171,6.51732673913043,26.2115371771373,2.26092620836377e-93,5.61981679494173e-91,202.381003998967
"SUV39H2",1.51068465991687,7.75634043478261,26.2114591191643,2.26278681046331e-93,5.61981679494173e-91,202.38018390589
"C10orf32",-1.40096243911148,9.16384217391304,-26.1491524512908,4.36387439711417e-93,1.06786573482323e-90,201.72542069793
"ZNF552",-2.82876986304865,9.82817108695652,-26.1134677087535,6.35756924678662e-93,1.53318771400767e-90,201.350279582648
"ABAT",-3.74611685496419,9.62675652173913,-26.0734339471238,9.6979188899155e-93,2.30533386183134e-90,200.929297999669
"ANKRA2",-1.32168652929026,8.10607065217391,-25.9705407564292,2.87253125965331e-92,6.73224227614522e-90,199.846726895787
"PGR",-6.35581321057871,9.46617086956522,-25.9536504313346,3.4333002303591e-92,7.93473831016326e-90,199.66893926236
"TSPAN1",-4.93629098212239,9.27797152173913,-25.8651447086096,8.74364451872175e-92,1.99307184645931e-89,198.736965808623
"TTC8",-1.43134094259265,9.04202804347826,-25.6694553665596,6.92227480759047e-91,1.55657638916629e-88,196.674214625061
"DEGS2",-4.7883765295453,8.95408195652174,-25.6560355479657,7.97838336541566e-91,1.77013732267355e-88,196.53265149304
"DNAL1",-1.46150018107164,8.75155913043478,-25.3881174030544,1.36217427297089e-89,2.98244472397838e-87,193.703672770514
"GFRA1",-6.29104806559388,11.0078410869565,-25.3285539069255,2.561558570077e-89,5.53562787091964e-87,193.074034375333
"WFS1",-1.64414205707583,10.6507682608696,-25.3089246007452,3.15438630923157e-89,6.72935745969403e-87,192.866480710178
"RABEP1",-1.83389108158426,11.6221660869565,-25.2463507079333,6.12634540894678e-89,1.29040996968195e-86,192.204666098449
"CCDC125",-1.73316288796512,8.97531739130435,-25.124832257809,2.22529247363444e-88,4.62860834515963e-86,190.918652523195
"REEP6",-4.12800142307008,9.28276217391304,-25.0457758650372,5.15299780607879e-88,1.05859115423643e-85,190.081472588526
"GPR160",-2.6041626584377,9.45713913043478,-24.9666072145926,1.19517299166697e-87,2.42532665626077e-85,189.242687790629
"BCAM",-2.51448623345491,12.0876193478261,-24.9593488852918,1.29103366440582e-87,2.58828917779674e-85,189.165765836203
"BCAS1",-5.28804084313079,7.68553804347826,-24.8391912293291,4.63274897026204e-87,9.17725510299528e-85,187.891869569207
"MTHFD1L",2.13664713218231,8.15765673913043,24.8127512397267,6.13755317219176e-87,1.20151629159142e-84,187.6114320675
"MICALL1",1.59830321338401,9.38201282608696,24.7912772601439,7.71297969421788e-87,1.49237188502076e-84,187.383634347144
"IVD",-1.76879030374131,10.5816786956522,-24.7751911696913,9.15294804357948e-87,1.75063282120876e-84,187.212972779322
"IL12RB2",4.70376532350619,4.42548326086956,24.7424137751707,1.29735016794034e-86,2.45317122665082e-84,186.865178638322
"CDCA7",3.79193081023185,6.32088913043478,24.6418155479481,3.78616330543459e-86,7.00811256153104e-84,185.797336463761
"ABCC8",-5.64165113361051,5.40807434782609,-24.6417094065937,3.79044549602039e-86,7.00811256153104e-84,185.796209454351
"C9orf170",2.39478702404939,1.5474347826087,24.621208637391,4.71534917662933e-86,8.6223527801222e-84,185.57851937271
"CHODL",3.95868499910742,3.70014891304348,24.6072430184124,5.47162463074253e-86,9.89650367995171e-84,185.430209070812
"YBX1",1.52420691132591,12.4160426086957,24.6056283243393,5.56654736354091e-86,9.95992990637857e-84,185.41306078944
"FAM198B",-2.74335218433604,11.7899532608696,-24.600564240956,5.8750682885882e-86,1.04001208853306e-83,185.359278483019
"LIMA1",-1.61980196118437,11.3364215217391,-24.5706515645187,8.07989814500377e-86,1.41525794876698e-83,185.04156416099
"SUOX",-1.27433018285686,9.42871652173913,-24.5088495708083,1.56102573947223e-85,2.70577794841853e-83,184.38497198064
"ESYT3",3.32845249037262,3.79839086956522,24.4665441640589,2.45044611516764e-85,4.2036518924113e-83,183.935384244637
"BCL11A",4.47105841473059,5.73478804347826,24.3376583837013,9.68598944586178e-85,1.64464147325653e-82,182.565052861305
"CDCA8",2.29335068985745,8.33386456521739,24.2925305514683,1.56760837647394e-84,2.63484882671983e-82,182.085024975421
"SYTL2",-2.76286213817552,10.3378263043478,-24.2298615670755,3.05975713794535e-84,5.09143587754107e-82,181.418223238103
"FLJ45983",-4.94064834102678,6.49480804347826,-24.2009865591062,4.16432087854716e-84,6.86082172465591e-82,181.110919028855
"SFT2D2",1.65801976996252,6.59143391304348,24.1483047668769,7.30826038750328e-84,1.19224953772603e-81,180.550133441081
